Vibration3HDate,Vibration3H
2018-04-09,191.8003571598905
2018-04-10,193.09217590895668
2018-04-11,194.39695974880874
2018-04-12,195.70069072095927
2018-04-13,196.89796892272352
2018-04-14,196.36180501218945
2018-04-15,195.8930631142562
2018-04-16,195.48839131239743
2018-04-17,195.08272337268886
2018-04-18,194.67601395389
2018-04-19,194.26827532032738
2018-04-20,193.8594953545373
2018-04-21,193.96157470983826
2018-04-22,194.06264775476322
2018-04-23,194.1626894652542
2018-04-24,194.26170196098127
2018-04-25,194.36099782426604
2018-04-26,194.46057078063004
2018-04-27,194.56046212640317
2018-04-28,194.66064685146227
2018-04-29,194.76112197527962
2018-04-30,194.86189063918067
2018-05-01,194.96293129596293
2018-05-02,195.06388590760184
2018-05-03,195.16472946397423
2018-05-04,195.26520224671708
2018-05-05,195.36530231089273
2018-05-06,195.465023354153
2018-05-07,195.56439651423653
2018-05-08,195.66340188121828
2018-05-09,195.76203138830746
2018-05-10,195.7955846227911
2018-05-11,195.82879506036102
2018-05-12,195.86165073402353
2018-05-13,195.8941486911207
2018-05-14,195.926286958845
2018-05-15,195.9580541764551
2018-05-16,195.98949165421578
2018-05-17,196.02057438200393
2018-05-18,196.05129936535673
2018-05-19,196.09487624843587
2018-05-20,196.13938162857
2018-05-21,196.18486697461515
2018-05-22,196.23129711785703
2018-05-23,196.27867923635904
2018-05-24,196.32700124052747
2018-05-25,196.37626190034197
2018-05-26,195.9484323183584
2018-05-27,195.51967361492507
2018-05-28,195.08999295417036
2018-05-29,194.6593833188285
2018-05-30,194.22783334815827
2018-05-31,193.79537925222635
2018-06-01,193.36200619343575
2018-06-02,193.35627464106605
2018-06-03,193.3496191864374
2018-06-04,193.3420182962822
2018-06-05,193.33351838106344
2018-06-06,193.32519860958732
2018-06-07,193.31706110152416
2018-06-08,193.30909371154036
2018-06-09,193.25367257075644
2018-06-10,193.19845659777334
2018-06-11,192.91192718808497
2018-06-12,192.8707103822037
2018-06-13,192.83058182061683
2018-06-14,192.79153523581365
2018-06-15,192.7536093949273
2018-06-16,192.74551681325215
2018-06-17,192.73947588477213
2018-06-18,192.73548212141816
2018-06-19,192.73352923477682
2018-06-20,192.73364836258705
2018-06-21,192.73582975351468
2018-06-22,192.74006279763734
2018-06-23,192.7441903679935
2018-06-24,192.74820617616973
2018-06-25,192.75214898929937
2018-06-26,192.7559937763568
2018-06-27,192.75972994832227
2018-06-28,192.7633543581078
2018-06-29,192.7668981434523
2018-06-30,192.77035155302144
2018-07-01,192.77370397689322
2018-07-02,192.77695092699844
2018-07-03,192.78008609402124
2018-07-04,192.8982300531068
2018-07-05,193.0162683776282
2018-07-06,193.13343907726517
2018-07-07,193.25070086978255
2018-07-08,193.36806274645866
2018-07-09,193.48554819473517
2018-07-10,193.60314746327808
2018-07-11,193.86370270446577
2018-07-12,194.12436431822545
2018-07-13,194.38512465426012
2018-07-14,194.6440281034025
2018-07-15,194.9010981948992
2018-07-16,195.15631752711934
2018-07-17,195.40967551104302
2018-07-18,194.94688217448066
2018-07-19,194.48227073906176
2018-07-20,194.13824506780372
2018-07-21,194.13935851165536
2018-07-22,194.0868136757511
2018-07-23,193.98316767281844
2018-07-24,193.87885171578986
2018-07-25,194.34527927694242
2018-07-26,194.81103686309672
2018-07-27,195.27683335835806
2018-07-28,195.74268300212987
2018-07-29,196.20933971316174
2018-07-30,196.67675397450296
2018-07-31,197.14497234347903
2018-08-01,197.3996722292852
2018-08-02,197.65516094303462
2018-08-03,197.81709575232105
2018-08-04,197.7134326882154
2018-08-05,197.65139323054933
2018-08-06,197.62894750823773
2018-08-07,197.60730589356095
2018-08-08,197.7274275523896
2018-08-09,197.84649680820496
2018-08-10,197.9645076920615
2018-08-11,198.08143353338693
2018-08-12,198.1973056516203
2018-08-13,198.3121034980426
2018-08-14,198.1951861724687
2018-08-15,198.1044659477514
2018-08-16,197.99996554601483
2018-08-17,197.8816942361999
2018-08-18,197.74962536863694
2018-08-19,197.60377498307344
2018-08-20,197.44459839598457
2018-08-21,197.24908903712972
2018-08-22,197.0529693503483
2018-08-23,196.82049188167764
2018-08-24,196.58740112545522
2018-08-25,196.35365366568067
2018-08-26,196.11929423843299
2018-08-27,195.88432450416119
2018-08-28,195.6487101628985
2018-08-29,195.41248253408395
2018-08-30,195.1756058102095
2018-08-31,194.93810953127223
2018-09-01,194.69999529501388
2018-09-02,194.46333917560486
2018-09-03,194.22816484218708
2018-09-04,193.99371029430787
2018-09-05,194.40285645147898
2018-09-06,194.81272239418865
2018-09-07,195.22332234093778
2018-09-08,195.63468084035864
2018-09-09,196.04694402243985
2018-09-10,196.46015848631177
2018-09-11,196.61145578286485
2018-09-12,195.52142474407128
2018-09-13,194.54608556483913
2018-09-14,193.67988068655617
2018-09-15,192.81461299055593
2018-09-16,191.94674469524054
2018-09-17,191.07629108030162
2018-09-18,190.20323688695007
2018-09-19,189.75616335297892
2018-09-20,189.30649686998962
2018-09-21,188.85423741707984
2018-09-22,188.39939264454645
2018-09-23,187.94566548425092
2018-09-24,187.49306356558776
2018-09-25,187.04158690945926
2018-09-26,186.51980908245918
2018-09-27,185.9991565179938
2018-09-28,185.47962917425832
2018-09-29,184.96121946366316
2018-09-30,184.44061581093257
2018-10-01,183.9178105866722
2018-10-02,183.39325956882095
2018-10-03,181.86696275737893
2018-10-04,180.33892015234613
2018-10-05,178.96984490771837
2018-10-06,178.05290805857254
2018-10-07,177.0697618761572
2018-10-08,176.02379356361212
2018-10-09,174.98118142894822
2018-10-10,181.72759992173533
2018-10-11,180.82351407376837
2018-10-12,179.9227736272001
2018-10-13,179.02537544070515
2018-10-14,178.12603575097282
2018-10-15,177.2247622083001
2018-10-16,176.3215610801979
2018-10-17,175.41640122892738
2018-10-18,174.5092924058226
2018-10-19,173.60024524170834
2018-10-20,172.68925657435665
2018-10-21,171.77843013092547
2018-10-22,170.8677735408092
2018-10-23,169.95729309242125
2018-10-24,169.77222313004998
2018-10-25,169.58732318179136
2018-10-26,169.40258096938408
2018-10-27,169.21800098089722
2018-10-28,169.0335832163307
2018-10-29,168.84934293447375
2018-10-30,168.66527114404818
2018-10-31,168.25990881073702
2018-11-01,167.85470886214392
2018-11-02,167.5902535024295
2018-11-03,167.72295231198888
2018-11-04,167.79495780986178
